epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.5014,1.00722,2.94198,1.08792,0.00333,1,0.05758,0.02206,1.08237,3.10423,1.51219,0,0,0
2,8.03612,0.91122,3.41086,1.08776,0.00333,1,0.1025,0.04149,1.05357,3.03624,1.4356,1.978e-05,1.978e-05,1.978e-05
3,8.58775,0.85173,2.98813,1.08355,0.00333,1,0.05658,0.02118,0.94857,2.91352,1.32647,3.912e-05,3.912e-05,3.912e-05
4,9.08035,0.95906,3.01407,1.17298,0.00333,1,0.04975,0.01967,0.8898,2.87614,1.29098,5.802e-05,5.802e-05,5.802e-05
5,9.52488,0.85478,2.914,1.00083,0.00333,1,0.04607,0.02514,0.86879,2.87056,1.27525,7.648e-05,7.648e-05,7.648e-05
6,10.2638,0.83096,2.91275,1.00915,0.00333,1,0.12226,0.08558,0.35099,2.51184,0.87111,9.45e-05,9.45e-05,9.45e-05
7,10.842,0.51251,2.66684,0.907,0.00333,1,0.58591,0.58591,0.22956,2.49688,0.84853,0.00011208,0.00011208,0.00011208
8,11.4253,0.45153,2.59861,0.91162,0.00333,1,0.995,0.995,0.26354,2.49395,0.84762,0.00012922,0.00012922,0.00012922
9,12.0084,0.35291,2.51999,0.87281,0.00333,1,0.995,0.995,0.26108,2.49213,0.84357,0.00014592,0.00014592,0.00014592
10,12.6075,0.49101,2.59375,0.8971,0.00333,1,0.995,0.92029,0.28013,2.48756,0.85376,0.00016218,0.00016218,0.00016218
11,13.4597,0.51024,2.3305,0.78772,0.00333,1,0.995,0.92029,0.2784,2.47667,0.84633,0.000178,0.000178,0.000178
12,14.3918,0.41022,2.18925,0.82876,0.00333,1,0.995,0.995,0.25846,2.46535,0.83474,0.00019338,0.00019338,0.00019338
13,15.3713,0.42562,2.22704,0.79161,0.00333,1,0.995,0.995,0.2481,2.45583,0.83649,0.00020832,0.00020832,0.00020832
14,15.9767,0.31248,1.96035,0.82877,0.00333,1,0.995,0.995,0.22905,2.43939,0.82865,0.00022282,0.00022282,0.00022282
15,16.7422,0.41431,1.92435,0.80275,0.00333,1,0.995,0.995,0.2169,2.42911,0.82311,0.00023688,0.00023688,0.00023688
16,17.3586,0.32649,1.75935,0.86696,0.00333,1,0.995,0.92029,0.25375,2.41858,0.8215,0.0002505,0.0002505,0.0002505
17,17.9415,0.46181,1.64277,0.83654,0.00333,1,0.995,0.92029,0.30753,2.38966,0.82531,0.00026368,0.00026368,0.00026368
18,18.4982,0.41556,1.71658,0.77615,0.00333,1,0.995,0.92029,0.30753,2.38966,0.82531,0.00027642,0.00027642,0.00027642
19,19.0735,0.40034,1.58936,0.88099,0.00333,1,0.995,0.92029,0.2915,2.33234,0.8319,0.00028872,0.00028872,0.00028872
20,19.6221,0.43792,1.57882,0.86068,0.00333,1,0.995,0.92029,0.2915,2.33234,0.8319,0.00030058,0.00030058,0.00030058
21,20.1753,0.40056,1.57133,0.82438,0.00333,1,0.995,0.8955,0.27996,2.29537,0.84459,0.000312,0.000312,0.000312
22,20.7637,0.48561,1.50043,0.82104,0.00333,1,0.995,0.8955,0.27996,2.29537,0.84459,0.00032298,0.00032298,0.00032298
23,21.3708,0.45677,1.57049,0.89392,0.00333,1,0.995,0.8955,0.30254,2.28302,0.8553,0.00033352,0.00033352,0.00033352
24,21.8733,0.46888,1.38742,0.7978,0.00333,1,0.995,0.8955,0.30254,2.28302,0.8553,0.00034362,0.00034362,0.00034362
25,22.4402,0.48711,1.61065,0.85699,0.00333,1,0.995,0.8955,0.33326,2.24241,0.86973,0.00035328,0.00035328,0.00035328
26,22.9771,0.37459,1.24484,0.83115,0.00333,1,0.995,0.8955,0.33326,2.24241,0.86973,0.0003625,0.0003625,0.0003625
27,23.559,0.41548,1.27195,0.80103,0.00333,1,0.995,0.92029,0.30762,2.217,0.84496,0.00037128,0.00037128,0.00037128
28,24.0846,0.45403,1.35393,0.886,0.00333,1,0.995,0.92029,0.30762,2.217,0.84496,0.00037962,0.00037962,0.00037962
29,24.6761,0.40168,1.31236,0.8852,0.00333,1,0.995,0.995,0.31623,2.16642,0.84171,0.00038752,0.00038752,0.00038752
30,25.2446,0.48122,1.36144,0.88261,0.00333,1,0.995,0.995,0.31623,2.16642,0.84171,0.00039498,0.00039498,0.00039498
31,26.1463,0.42777,1.20038,0.86511,0.01688,1,0.995,0.94504,0.26043,2.07286,0.83862,0.000402,0.000402,0.000402
32,27.0435,0.38929,1.17297,0.83762,0.01688,1,0.995,0.94504,0.26043,2.07286,0.83862,0.00040858,0.00040858,0.00040858
33,27.9772,0.45571,1.21108,0.79331,0.77123,1,0.995,0.94504,0.47198,2.03147,0.88395,0.00041472,0.00041472,0.00041472
34,28.5683,0.39269,1.13768,0.89005,0.77123,1,0.995,0.94504,0.47198,2.03147,0.88395,0.00042042,0.00042042,0.00042042
35,29.1711,0.45795,1.05009,0.85305,0.88084,1,0.995,0.94504,0.45889,1.99994,0.89951,0.00042568,0.00042568,0.00042568
36,29.7088,0.41466,0.9852,0.85103,0.88084,1,0.995,0.94504,0.45889,1.99994,0.89951,0.0004305,0.0004305,0.0004305
